Country,Color1,Color2,Color3,Color4,Color5,Color6
Libya,"(np.uint8(231), np.uint8(0), np.uint8(19))","(np.uint8(0), np.uint8(0), np.uint8(1))","(np.uint8(35), np.uint8(158), np.uint8(70))",,,
Morocco,"(np.uint8(193), np.uint8(39), np.uint8(45))",,,,,
Monaco,"(np.uint8(243), np.uint8(24), np.uint8(48))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,,
Moldova,"(np.uint8(0), np.uint8(49), np.uint8(156))","(np.uint8(255), np.uint8(222), np.uint8(0))","(np.uint8(222), np.uint8(33), np.uint8(16))","(np.uint8(167), np.uint8(123), np.uint8(59))",,
Montenegro,"(np.uint8(211), np.uint8(174), np.uint8(59))","(np.uint8(196), np.uint8(3), np.uint8(8))","(np.uint8(212), np.uint8(175), np.uint8(58))",,,
Madagascar,"(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(252), np.uint8(61), np.uint8(50))","(np.uint8(0), np.uint8(126), np.uint8(58))",,,
Marshall Islands,"(np.uint8(59), np.uint8(90), np.uint8(163))","(np.uint8(226), np.uint8(174), np.uint8(87))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,
North Macedonia,"(np.uint8(255), np.uint8(230), np.uint8(0))","(np.uint8(210), np.uint8(0), np.uint8(0))",,,,
Mali,"(np.uint8(0), np.uint8(154), np.uint8(0))","(np.uint8(255), np.uint8(255), np.uint8(0))","(np.uint8(255), np.uint8(0), np.uint8(0))",,,
Myanmar,"(np.uint8(254), np.uint8(203), np.uint8(0))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(52), np.uint8(178), np.uint8(51))","(np.uint8(234), np.uint8(40), np.uint8(57))",,
Mongolia,"(np.uint8(218), np.uint8(32), np.uint8(50))","(np.uint8(0), np.uint8(102), np.uint8(179))","(np.uint8(255), np.uint8(217), np.uint8(0))",,,
Mauritania,"(np.uint8(205), np.uint8(42), np.uint8(62))","(np.uint8(0), np.uint8(98), np.uint8(51))","(np.uint8(255), np.uint8(196), np.uint8(0))",,,
Malta,"(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(207), np.uint8(20), np.uint8(43))",,,,
Mauritius,"(np.uint8(238), np.uint8(39), np.uint8(55))","(np.uint8(21), np.uint8(31), np.uint8(109))","(np.uint8(255), np.uint8(205), np.uint8(0))","(np.uint8(0), np.uint8(160), np.uint8(77))",,
Maldives,"(np.uint8(210), np.uint8(16), np.uint8(52))","(np.uint8(0), np.uint8(126), np.uint8(58))",,,,
Malawi,"(np.uint8(0), np.uint8(0), np.uint8(1))","(np.uint8(243), np.uint8(21), np.uint8(9))","(np.uint8(244), np.uint8(20), np.uint8(8))","(np.uint8(33), np.uint8(135), np.uint8(59))",,
Mexico,"(np.uint8(0), np.uint8(104), np.uint8(71))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(206), np.uint8(17), np.uint8(38))",,,
Malaysia,"(np.uint8(204), np.uint8(0), np.uint8(0))","(np.uint8(0), np.uint8(0), np.uint8(102))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,
Mozambique,"(np.uint8(0), np.uint8(154), np.uint8(0))","(np.uint8(255), np.uint8(0), np.uint8(0))","(np.uint8(0), np.uint8(0), np.uint8(1))","(np.uint8(255), np.uint8(202), np.uint8(0))",,
Namibia,"(np.uint8(54), np.uint8(98), np.uint8(162))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(199), np.uint8(0), np.uint8(0))","(np.uint8(56), np.uint8(161), np.uint8(0))",,
Niger,"(np.uint8(224), np.uint8(82), np.uint8(6))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(13), np.uint8(176), np.uint8(43))",,,
Nigeria,"(np.uint8(0), np.uint8(135), np.uint8(83))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,,
Nicaragua,"(np.uint8(0), np.uint8(103), np.uint8(198))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,,
Netherlands,"(np.uint8(174), np.uint8(28), np.uint8(40))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(33), np.uint8(70), np.uint8(139))",,,
Norway,"(np.uint8(237), np.uint8(41), np.uint8(57))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(38), np.uint8(100))",,,
Nepal,"(np.uint8(0), np.uint8(0), np.uint8(99))","(np.uint8(0), np.uint8(0), np.uint8(0))","(np.uint8(206), np.uint8(0), np.uint8(0))",,,
Nauru,"(np.uint8(0), np.uint8(33), np.uint8(112))","(np.uint8(255), np.uint8(178), np.uint8(13))",,,,
